company_code,year,quarter,total_assets,total_liabilities,equity,shares_outstanding,revenue,net_profit,bvps,roa,roe,eps,pe,sector_kind,symbol,gross_profit
354,2022,4,364830052800.0,281628359100.0,83201693700.0,780112500.0,167960356500.0,9173026800.0,107.0,2.5143,11.025,11.7586,21.1182,general,GOV,69731519300.0
354,2023,1,0.0,0.0,0.0,780112500.0,0.0,0.0,0.0,,,0.0,0.0,general,GOV,0.0
354,2023,2,435490746652.0,357673054535.0,77817692117.0,780112500.0,70874742021.0,0.0,100.0,0.0,0.0,0.0,0.0,general,GOV,30445386361.0
354,2023,3,0.0,0.0,0.0,780112500.0,0.0,0.0,0.0,,,0.0,0.0,general,GOV,0.0
354,2023,4,399341983129.0,304000344299.0,95341638830.0,780112500.0,232194288874.0,12139945124.0,122.0,3.04,12.7331,15.5618,17.5809,general,GOV,98381097943.0
354,2024,1,337394946561947.0,339831980036168.0,337394946561737.0,780112500.0,35588196696188.0,0.0,432495.0,0.0,0.0,0.0,0.0,general,GOV,0.0
354,2024,2,451213828063.0,366669413030.0,84544415033.0,780112500.0,68108933392.0,0.0,108.0,0.0,0.0,0.0,0.0,general,GOV,28966865033.0
354,2024,3,0.0,0.0,0.0,780112500.0,0.0,0.0,0.0,,,0.0,0.0,general,GOV,0.0
354,2024,4,410696906187.0,303478797084.0,107218109102.0,780112500.0,216869211025.0,105687232.0,137.0,0.0257,0.0986,0.1355,1904.3835,general,GOV,90573592580.0
354,2025,1,0.0,0.0,0.0,780112500.0,0.0,0.0,0.0,,,0.0,0.0,general,GOV,0.0
354,2025,2,484518884384.0,388766920588.0,95751963796.0,780112500.0,79282565511.0,0.0,123.0,0.0,0.0,0.0,0.0,general,GOV,34555618556.0
354,2025,3,0.0,0.0,0.0,780112500.0,0.0,0.0,0.0,,,0.0,0.0,general,GOV,0.0
354,2025,4,302248500340.0,324404626775.0,-22156126435.0,780112500.0,246187537458.0,203324807.0,-28.0,0.0673,-0.9177,0.2606,860.3211,general,GOV,118285656979.0
354,2026,2,406986929000.0,434855098707.0,-27868169707.0,780112500.0,84147667053.0,-7183111309.0,-36.0,-1.7649,25.7753,-9.2078,-24.11,general,GOV,40902060033.0
563,2022,4,14952713346400.0,13437347279400.0,1515366067000.0,1912198000.0,1396478537500.0,448772198900.0,792.0,3.0013,29.6148,234.6892,,bank,KHAN,
563,2023,2,16020420963295.0,14224878141912.0,1795542821383.0,1912198000.0,945614351704.0,272033352841.0,939.0,1.698,15.1505,142.2621,7.8728,bank,KHAN,
563,2023,4,17350642072350.0,15258906713973.0,2091735358376.0,1912198000.0,2052185427491.0,558782869011.0,1094.0,3.2205,26.7138,292.2202,4.1202,bank,KHAN,
563,2024,2,20185938223366.0,18067608164928.0,2118330058438.0,1912198000.0,1209997947021.0,290440612548.0,1108.0,1.4388,13.7108,151.8884,6.676,bank,KHAN,
563,2024,4,20302724608108.0,17838066360762.0,2464658247345.0,1912198000.0,2553680935642.0,638514456614.0,1289.0,3.145,25.9068,333.9165,3.5578,bank,KHAN,
563,2025,1,19813213583996.0,0.0,2638796189708.0,1912198000.0,676302936007.0,178360841507.0,1380.0,0.9002,6.7592,93.2753,13.9158,bank,KHAN,
563,2025,2,21402235921352.0,18961947310054.0,2440288611297.0,1912198000.0,1374151698706.0,353720003208.0,1276.0,1.6527,14.495,184.9808,5.7736,bank,KHAN,
563,2025,3,21927484085195.0,0.0,2658988822876.0,1912198000.0,2135154036809.0,529116177246.0,1391.0,2.413,19.8992,276.7057,4.5969,bank,KHAN,
563,2025,4,23942309277143.0,21117469470024.0,2824839807119.0,1912198000.0,2936655663559.0,694847217071.0,1477.0,2.9022,24.5978,363.3762,3.7977,bank,KHAN,
563,2026,2,28082661655086.0,25306278412134.0,2776383242952.0,1912198000.0,1714903632591.0,357207155657.0,1452.0,1.272,12.8659,186.8045,7.7621,bank,KHAN,
545,2022,2,0.0,0.0,0.0,800000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,nbfi,LEND,
545,2022,4,0.0,0.0,18491649100.0,800000000.0,0.0,553032400.0,23.0,8.3885,26.76,8.0796,3.8232,nbfi,LEND,
545,2023,2,0.0,0.0,25519098996.0,800000000.0,0.0,89319916.0,32.0,11.0607,33.2818,12.9722,3.1452,nbfi,LEND,
545,2023,4,0.0,0.0,36677725918.0,800000000.0,0.0,149139191.0,46.0,18.7445,59.092,31.2746,1.7254,nbfi,LEND,
545,2024,2,208779700738.0,146760287043.0,62019413694.0,800000000.0,39212789888.0,16967839069.0,78.0,,8.1271,21.2098,4.7134,nbfi,LEND,
545,2024,4,256174921573.0,0.0,73978967430.0,800000000.0,88860651332.0,37553201705.0,92.0,,14.6592,46.9415,3.2594,nbfi,LEND,
545,2025,2,295214787989.0,213414433523.0,81800354466.0,800000000.0,61376368484.0,20248103453.0,102.0,,6.8588,25.3101,5.5314,nbfi,LEND,
